SCHL	fod1p	_TYPE_	_FREQ_	p50adj_wagp	p25adj_wagp	p75adj_wagp	mean_grad_degree	mean_grad_degree_all	mean_employed	pct_ts	pct_tsg	dboost	boost	pct_ts_all	pct_tsg_all	gths_mean	gthsftfy_mean	gmajor
Bachelors	"French, German, Latin and other common Foreign Language Studies"	7	3241	49514.05372	33554.28571	70000	0	0	0.945543871	0.00430944	0.055906714			0.004878176	0.058985555	0.673243709	0.756520064	Humanities and liberal arts
Bachelors	Other Foreign Languages	7	803	46419.42536	30946.28357	75210.62619	0	0	0.935885539	0.001069805	0.013878672			0.001161885	0.01404919	0.641792372	0.699168364	Humanities and liberal arts
Bachelors	English Language and Literature	7	16107	50000	33426.94497	75497.14286	0	0	0.937516393	0.021798154	0.282789221			0.023664486	0.286144406	0.684552296	0.753641805	Humanities and liberal arts
Bachelors	Composition and Speech	7	1048	43977.32448	31457.14286	67898.48197	0	0	0.935919204	0.001409041	0.018279609			0.001542025	0.018645741	0.655414598	0.710304202	Humanities and liberal arts
Bachelors	Liberal Arts	7	10494	50000	33426.94497	74271.08058	0	0	0.938668612	0.01472885	0.191078568			0.015622077	0.188897826	0.698049216	0.751053337	Humanities and liberal arts
Bachelors	Humanities	7	708	44564.28571	30946.28357	66000	0	0	0.917023575	0.000913163	0.011846539			0.001054369	0.012749135	0.63845219	0.701803721	Humanities and liberal arts
Bachelors	Multi/Interdisciplinary Studies	7	745	44040	33834.60337	56734.85322	0	0	0.927367627	0.000949568	0.012318819			0.001046722	0.012656667	0.684552958	0.764371662	Humanities and liberal arts
Bachelors	Intercultural and International Studies	7	919	48234.28571	30946.28357	73121.44213	0	0	0.928858203	0.001240182	0.016088983			0.001411981	0.01707328	0.645195524	0.716559477	Humanities and liberal arts
Bachelors	Philosophy and Religious Studies	7	3126	46484.34535	30397.62808	72000	0	0	0.929754127	0.004254632	0.055195686			0.004613024	0.055779403	0.63456903	0.697338259	Humanities and liberal arts
Bachelors	Theology and Religious Vocations	7	4220	40230.16865	27262.85714	56734.85322	0	0	0.960748989	0.005303687	0.068805157			0.005387617	0.065145571	0.616864521	0.636585938	Humanities and liberal arts
Bachelors	Art History and Criticism	7	1308	45962.04934	31000	69987.66603	0	0	0.930826746	0.001760248	0.02283584			0.001971635	0.023840463	0.625853692	0.707629398	Humanities and liberal arts
Bachelors	History	7	11994	52229.60152	35000	81000	0	0	0.936689806	0.015808953	0.205090832			0.016334345	0.197510377	0.719734105	0.771114533	Humanities and liberal arts
Bachelors	Family and Consumer Sciences	7	5713	41783.68121	30293.16888	60000	0	0	0.954034861	0.007242676	0.28494128			0.008345054	0.315467919	0.619307142	0.676678885	"Industrial arts, consumer <br> services, and recreation"
Bachelors	Military Technologies	7	58	67108.57143	40000	88712.67958	0	0	0.975037822	7.78672E-05	0.003063451			7.75265E-05	0.002930733	0.795121301	0.87308461	"Industrial arts, consumer <br> services, and recreation"
Bachelors	"Physical Fitness, Parks, Recreation, and Leisure"	7	7147	45298.28571	31977.82636	63000	0	0	0.957018951	0.009675975	0.380672092			0.009929769	0.375374887	0.698568906	0.734229404	"Industrial arts, consumer <br> services, and recreation"
Bachelors	Miscellaneous Industrial Arts and Consumer Services	7	3171	60586.33776	40000	88790.32258	0	0	0.946645931	0.004481204	0.176299479			0.004284275	0.161958364	0.799793042	0.827072348	"Industrial arts, consumer <br> services, and recreation"
Bachelors	Transportation Sciences and Technologies	7	2892	69205.71429	42828.27325	99614.28571	0	0	0.960741942	0.003940414	0.155023698			0.003816315	0.144268096	0.860121909	0.865690456	"Industrial arts, consumer <br> services, and recreation"
Bachelors	Pre-Law and Legal Studies	7	1392	49514.05372	34812.57143	70000	0	0	0.926043109	0.002068565	0.072564465			0.00205468	0.076672094	0.747209858	0.766761966	Law and public policy
Bachelors	Criminal Justice and Fire Protection	7	17656	52428.57143	36560.72106	75302.62336	0	0	0.952859628	0.024589364	0.862585293			0.02295911	0.856738391	0.794903141	0.804915458	Law and public policy
Bachelors	Public Administration	7	1130	57766.396	40127.01437	89744.22236	0	0	0.933637843	0.001477675	0.051836245			0.001405863	0.05246095	0.819627906	0.849706417	Law and public policy
